City,Country,IATA,ICAO,Airport
Baghdad,Iraq,BGW,ORBI,Baghdad International Airport
Burgas,Bulgaria,BOJ,LBBG,Burgas Airport
Chania,Greece,CHQ,LGSA,Chania International Airport
Cologne / Bonn,Germany,CGN,EDDK,Cologne Bonn Airport
Corfu,Greece,CFU,LGKR,Corfu International Airport
Dubrovnik,Croatia,DBV,LDDU,Dubrovnik Airport
Erbil,Iraq,EBL,ORER,Erbil International Airport
Faro,Portugal,FAO,LPFR,Faro Airport
Friedrichshafen,Germany,FDH,EDNY,Friedrichshafen Airport
Gothenburg,Sweden,GSE,ESGP,Gothenburg City Airport
Gothenburg,Sweden,GOT,ESGG,Göteborg Landvetter Airport
Heraklion,Greece,HER,LGIR,Heraklion International Airport
Kalamata,Greece,KLX,LGKL,Kalamata International Airport
Kefalonia,Greece,EFL,LGKF,Kefalonia Island International Airport
Kos,Greece,KGS,LGKO,Kos Island International Airport
Larnaca,Cyprus,LCA,LCLK,Larnaca International Airport
Lemnos,Greece,LXS,LGLM,Lemnos International Airport
London,United Kingdom,LGW,EGKK,Gatwick Airport
Malmö,Sweden,MMX,ESMS,Malmö Airport
Manchester,United Kingdom,MAN,EGCC,Manchester Airport
