No,University name,Location,District,Specialisation,Estd
1,Alagappa University,Karaikudi,Sivagangai,"Humanities , Sciences",1985
2,Anna University,Chennai,Chennai,Engineering & management studies,1978
3,Annamalai University,Annamalai Nagar,Cuddalore,"Humanities , Sciences , Engineering , Agri",1929
4,Bharathiar University,Coimbatore,Coimbatore,"Humanities , Sciences",1982
5,Bharathidasan University,Trichy,Trichy,"Humanities , Sciences",1982
6,Madurai Kamaraj University,Madurai,Madurai,"Humanities , Sciences",1965
7,Manonmaniam Sundaranar University,Tirunelveli,Tirunelveli,"Humanities , Sciences",1992
8,Mother Teresa Women 's University,Kodaikanal,Dindigul,"Humanities , Sciences",1984
9,Tamil Nadu Dr. M.G.R . Medical University,Chennai,Chennai,Medical,1989
10,Tamil Nadu Dr. Ambedkar Law University,Chennai,Chennai,Law,1998
11,Tamil Nadu Agricultural University,Coimbatore,Coimbatore,Agriculture,1971
12,Periyar University,Salem,Salem,"Humanities , Sciences",1997
13,Tamil Nadu Veterinary and Animal Sciences University,Chennai,Chennai,Veterinary,1990
14,Tamil University,Thanjavur,Thanjavur,"Humanities , Sciences",1981
15,Thiruvalluvar University,Vellore,Vellore,"Humanities , Sciences",2003
16,University of Madras,Chennai,Chennai,"Humanities , Sciences",1857
17,Tamil Nadu Teachers Education University,Chennai,Chennai,Education,2008
18,Tamil Nadu Open University,Chennai,Chennai,,2004
19,Tamil Nadu Physical Education and Sports University,Chennai,Chennai,Sports,2005
20,Tamil Nadu Dr. J. Jayalalithaa Fisheries University,Nagapattinam,Nagapattinam,Fisheries & Aqua Culture,2012
