Season,Player,Team,Save%,Win #
2007-08,Dan Ellis,Nashville Predators,.924,1
2008-09,Tim Thomas,Boston Bruins,.933,1
2009-10,Tuukka Rask,Boston Bruins,.931,1
2010-11,Tim Thomas,Boston Bruins,.938,2
2011-12,Brian Elliott,St. Louis Blues,.940,1
2012-13 *,Craig Anderson,Ottawa Senators,.941,1
2013-14,Josh Harding,Minnesota Wild,.933,1
2014-15,Carey Price,Montreal Canadiens,.933,1
2015-16,Brian Elliott,St. Louis Blues,.930,2
2016-17,Sergei Bobrovsky,Columbus Blue Jackets,.932,1
2017-18,Carter Hutton,St. Louis Blues,.931,1
2018-19,Ben Bishop,Dallas Stars,.934,1
