Year,Winner,Nominees
2003,Theory of a Deadman,Bet.e & Stef Crush One Ton Simple Plan
2004,Billy Talent,Lillix The Dears The Trews Three Days Grace
2005,Alexisonfire,Death From Above The Marble Index The Waking Eyes Thornley
2006,Bedouin Soundclash,Boys Night Out Hedley Pocket Dwellers Silverstein
2007,Mobile,Evans Blue Idle Sons Jets Overhead Stabilo
2008,Wintersleep,Dragonette Faber Drive illScarlett State of Shock
2009,The Stills,Beast Cancer Bats Crystal Castles Plants and Animals
2010,Arkells,Down With Webster Stereos Ten Second Epic The New Cities
2011,Said the Whale,Die Mannequin Hollerado Misteur Valaire My Darkest Days
2012,The Sheepdogs,Braids Hey Rosetta ! Mother Mother The Rural Alberta Advantage
