Year,Winner,Position,School
2002-03,Mike Brown,Goaltender,Ferris State
2003-04,Craig Kowalski,Goaltender,Northern Michigan
2004-05,Jordan Sigalet,Goaltender,Bowling Green
2005-06,Jeff Jakaitis,Goaltender,Lake Superior State
2006-07,Jeff Lerg,Goaltender,Michigan State
2007-08,Kevin Porter,Center,Michigan
2008-09,Chad Johnson,Goaltender,Alaska
2009-10,Drew Palmisano,Goaltender,Michigan State
2010-11,Andy Miele,Center,Miami
2011-12,Reilly Smith,Right Wing,Miami
2012-13,Brady Hjelle,Goaltender,Ohio State
