Name,Location,Type
Allianz Park,"Hendon , London",Rugby union and athletics stadium
Kia Oval,Kennington,Cricket stadium
Banks 's Stadium,Walsall,Football stadium
American Express Community Stadium,Falmer,Football stadium
The Balfour Webnet Darlington Arena,Darlington,Football stadium
Bargain Booze Stadium,Northwich,Football stadium
Coral Windows Stadium,Bradford,Football stadium
Bright Finance Stadium,Sheffield,Football stadium
Bet 365 Stadium,Stoke-on-Trent,Football stadium
EBB Stadium,Aldershot,Football stadium
The Cherry Red Records Stadium,Kingston upon Thames,Football stadium
DW Stadium,Wigan,Football and rugby league stadium
Echo Arena Liverpool,Liverpool,Multi-purpose indoor arena
Emirates Riverside,"Chester-le-Street , County Durham",Cricket stadium
Emirates Old Trafford,Manchester,Cricket stadium
Emirates Stadium,"Holloway , London",Football stadium
Etihad Stadium,Manchester,Football Stadium
Exacta Stadium,Chester,Football stadium
Galpharm Stadium,Huddersfield,Football and rugby league stadium
Genting Arena,Birmingham,Multi-purpose indoor arena
