Pos,No,Driver,Constructor,Lap Time,Gap
1,8,Mika Häkkinen,McLaren - Mercedes,1:19.798,
2,7,David Coulthard,McLaren - Mercedes,1:20.137,+0.339
3,5,Giancarlo Fisichella,Benetton - Playlife,1:20.368,+0.570
4,3,Michael Schumacher,Ferrari,1:20.702,+0.904
5,2,Heinz-Harald Frentzen,Williams - Mecachrome,1:20.729,+0.931
6,6,Alexander Wurz,Benetton - Playlife,1:20.955,+1.157
7,4,Eddie Irvine,Ferrari,1:21.712,+1.914
8,17,Mika Salo,Arrows,1:22.144,+2.346
9,15,Johnny Herbert,Sauber - Petronas,1:22.157,+2.359
10,12,Jarno Trulli,Prost - Peugeot,1:22.238,+2.440
11,14,Jean Alesi,Sauber - Petronas,1:22.257,+2.459
12,16,Pedro Diniz,Arrows,1:22.355,+2.557
13,1,Jacques Villeneuve,Williams - Mecachrome,1:22.468,+2.670
14,18,Rubens Barrichello,Stewart - Ford,1:22.540,+2.742
15,9,Damon Hill,Jordan - Mugen-Honda,1:23.151,+3.353
16,10,Ralf Schumacher,Jordan - Mugen-Honda,1:23.263,+3.465
17,19,Jan Magnussen,Stewart - Ford,1:23.411,+3.613
18,11,Olivier Panis,Prost - Peugeot,1:23.536,+3.738
19,22,Shinji Nakano,Minardi - Ford,1:23.957,+4.159
20,21,Toranosuke Takagi,Tyrrell - Ford,1:24.024,+4.226
