Medal,Name,Event,Championship
Gold,Olivera Jevtić,"10,000m",1997 Turku
Gold,Olivera Jevtić,"10,000m",1999 Gothenburg
Gold,Amela Terzić,1500m,2013 Tampere
Gold,Emir Bekrić,400m Hurdles,2013 Tampere
Silver,Sonja Stolić,"10,000m",2001 Amsterdam
Silver,Marija Martinović,Triple jump,2001 Amsterdam
Silver,Ivana Španović,Long jump,2011 Ostrava
Bronze,Olivera Jevtić,"5,000m",1999 Gothenburg
Bronze,Mihail Dudaš,Decathlon,2009 Kaunas
Bronze,Azra Eminović,"10,000m",2009 Kaunas
Bronze,Mihail Dudaš,Decathlon,2011 Ostrava
Bronze,Emir Bekrić,400m Hurdles,2011 Ostrava
Bronze,Marija Vučenović,Javelin Throw,2013 Tampere
