US,Album,Artist,Record Label
1,Alabama Live,Alabama,RCA
25,All Keyed Up,Becky Hobbs,MTM
4,Big Dreams in a Small Town,Restless Heart,RCA
1,Buenas Noches from a Lonely Room,Dwight Yoakam,Reprise
7,Chiseled in Stone,Vern Gosdin,Columbia
22,Come as You Were,T. Graham Brown,Capitol
12,Comin ' Home to Stay,Ricky Skaggs,Epic
7,Copperhead Road,Steve Earle,MCA
8,Diamonds & Dirt,Rodney Crowell,Columbia
8,Do n't Close Your Eyes,Keith Whitley,RCA
1,Greatest Hits,The Judds,Curb/RCA
8,"Highway 101 , Volume 2",Highway 101,Warner Bros
16,Homesick Heroes,The Charlie Daniels Band,Epic
7,Honky Tonk Angel,Patty Loveless,MCA
20,I Should Be with You,Steve Wariner,MCA
1,"If You Ai n't Lovin ' , You Ai n't Livin '",George Strait,MCA
1,Loving Proof,Ricky Van Shelton,Columbia
9,Monongahela,The Oak Ridge Boys,MCA
1,Old 8×10,Randy Travis,Warner Bros
11,"One Time , One Night",Sweethearts of the Rodeo,Columbia
