Medal,Name,Sport,Event
Gold,Andy Murray,Tennis,Men 's singles
Gold,Callum Skinner,Track cycling,Men 's team sprint
Gold,Heather Stanning,Rowing,Women 's coxless pair
Gold,Katie Archibald,Track cycling,Women 's team pursuit
Silver,Daniel Wallace,Swimming,Men 's 4×200 metre freestyle relay
Silver,Duncan Scott,Swimming,Men 's 4×200 metre freestyle relay
Silver,Robert Renwick,Swimming,Men 's 4×200 metres freestyle relay
Silver,Stephen Milne,Swimming,Men 's 4×200 metre freestyle relay
Silver,Duncan Scott,Swimming,Men 's 4×100 metre medley relay
Silver,Katherine Grainger,Rowing,Women 's double sculls
Silver,David Florence,Canoe slalom,Men 's C-2 team
Silver,Mark Bennett,Rugby sevens,Men 's tournament
Silver,Mark Robertson,Rugby sevens,Men 's tournament
Silver,Callum Skinner,Track cycling,Men 's individual sprint
Silver,Karen Bennett,Rowing,Women 's eight
Silver,Polly Swann,Rowing,Women 's eight
Bronze,Sally Conway,Judo,Women 's -70 kilograms
Bronze,Eilidh Doyle,Athletics,Women 's 4 × 400 metres relay
