Time,Swimmer,Date,Place
59.41,Angel Martino,"November 21 , 1993","Stavanger , Norway"
58.50,Angel Martino,"December 3 , 1993","Palma de Mallorca , Spain"
58.45,Reiko Nakamura,"March 4 , 2001","Sagamihara , Japan"
57.08,Natalie Coughlin,"November 29 , 2001","East Meadow , New York , United States"
56.71,Natalie Coughlin,"November 23 , 2002","East Meadow , New York , United States"
56.51,Natalie Coughlin,"October 28 , 2007",Singapore
56.15,Shiho Sakai,"February 22 , 2009","Tokyo , Japan"
55.23,Shiho Sakai,"November 15 , 2009","Berlin , Germany"
55.03,Katinka Hosszú,"December 4 , 2014","Doha , Qatar"
54.89,Minna Atherton,"October 27 , 2019","Budapest , Hungary"
