Rank,Airport,Serves,Total ( tonnes ),Annual change
1,Toronto Pearson International Airport,Greater Toronto Area,"340,562.3",14.1%
2,Vancouver International Airport,Metro Vancouver,"196,855.0",16.7%
3,John C. Munro Hamilton International Airport,Hamilton,"81,525.8",10.6%
4,Calgary International Airport,Calgary,"80,491.2",10.5%
5,Montréal-Pierre Elliott Trudeau International Airport,Greater Montreal,"77,229.8",16.4%
6,Montréal-Mirabel International Airport,Montreal,"69,327.2",14%
7,Winnipeg James Armstrong Richardson International Airport,Winnipeg,"61,021.8",14.1%
8,Halifax Stanfield International Airport,Halifax,"27,942.6",4.8%
9,Edmonton International Airport,Edmonton Capital Region,"22,881.6",17.7%
10,Greater Moncton International Airport,Moncton,"22,544.0",2.4%
11,Ottawa Macdonald-Cartier International Airport,Ottawa,"12,019.7",36.7%
12,St. John 's International Airport,St. John 's,"10,504.7",6.3%
13,Regina International Airport,Regina,"5,024.0",20%
14,Saskatoon John G. Diefenbaker International Airport,Saskatoon,"4,676.5",7.9%
15,Victoria International Airport,Victoria,"4,220.9",9.6%
16,Québec City Jean Lesage International Airport,Quebec City,"3,121.7",1.5%
17,Kelowna International Airport,Kelowna,"2,602.4",15.3%
18,Thunder Bay International Airport,Thunder Bay,"2,014.3",2.8%
19,Windsor International Airport,Windsor,958.4,-6.8%
20,Prince George Airport,Prince George,953.3,9.1%
