Name,College,Notes
Nicholas Boles,Magdalen,member of Westminster City Council 1998-2002
Ian Frank Bowater,Magdalen,Lord Mayor of London 1969-1970
Nicholas Bye,,"Mayor of Torbay 2003-2004 , directly-elected Mayor of Torbay 2005- ;"
Alexander Curtis,St Catherine 's,"Ware Town Councillor 2015- , Mayor of Ware 2017-"
"George Gordon , 2nd Marquess of Aberdeen and Temair",Balliol,London County Council 1910-1925 & 1931-1934
Cyril Jackson,New College,"Agent-General for Western Australia 1910-11 , Leader of London County Council 1911-15"
Boris Johnson,Balliol,"Editor of The Spectator 1999-2005 , MP for Henley 2001-2008 , Mayor of London 2008-2016"
Christopher Newbury,Keble,"member of Wiltshire County Council 1997- , of the Congress of the Council of Europe 1998-"
Kathleen Ollerenshaw,Somerville,Lord Mayor of Manchester 1975-1976
Lena Townsend,Somerville,Leader of the Inner London Education Authority 1969-1970
Mike Woodin,Wolfson and Balliol,Green Party member of Oxford City Council 1994-2004
