Year,Team ( s ),Conference Record,Overall Record ( s ),Head Coach ( es )
2007 *,Massachusetts Richmond,7-1,10-3 11-3,Don Brown Dave Clawson
2008,James Madison,8-0,12-2,Mickey Matthews
2009 *,Richmond Villanova,7-1,11-2 14-1,Mike London Andy Talley
2010 *,Delaware William & Mary,6-2,12-3 8-4,K. C. Keeler Jimmye Laycock
2011,Towson,7-1,9-3,Rob Ambrose
2012 *,New Hampshire Richmond † Villanova Towson †,6-2,8-3 8-3 8-3 7-4,Sean McDonnell Danny Rocco Andy Talley Rob Ambrose
2013,Maine,7-1,10-3,Jack Cosgrove
2014,New Hampshire,8-0,10-1,Sean McDonnell
2015 *,James Madison Richmond William & Mary,6-2,9-2 8-3 8-3,Everett Withers Danny Rocco Jimmye Laycock
2016,James Madison,8-0,14-1,Mike Houston
2017,James Madison,8-0,11-0,Mike Houston
2018,Maine,7-1,10-4,Joe Harasymiak
2019,James Madison,7-0,10-1,Curt Cignetti
