No,Year,Title,Director ( s ),Cast,Genre
1,2001,Kyo Kii ... Main Jhuth Nahin Bolta,David Dhawan,"Govinda , Sushmita Sen , Rambha",Comedy
2,2003,Kucch To Hai,Anurag Basu Anil Vimal Kumar,"Tusshar Kapoor , Esha Deol , Anita Hassanandani , Yash Tonk",Horror
3,2004,Krishna Cottage,Santram Verma,"Sohail Khan , Isha Koppikar , Anita Hassanandani Reddy",Horror
4,2005,Kyaa Kool Hai Hum,Sangeeth Sivan,"Tusshar Kapoor , Riteish Deshmukh , Isha Koppikar , Neha Dhupia",Comedy Thriller
5,2005,Koi Aap Sa,Partho Mitra,"Aftab Shivdasani , Anita Hassanandani , Dipannita Sharma , Himanshu Malik",Romance
6,2007,Shootout at Lokhandwala,Apoorva Lakhia,"Amitabh Bachchan , Sanjay Dutt , Sunil Shetty , Vivek Oberoi , Arbaaz Khan , Amrita Singh , Tusshar Kapoor , Rohit Roy",Crime
7,2008,Mission Istanbul,Apoorva Lakhia,"Vivek Oberoi , Shriya Saran , Zayed Khan",Crime
8,2008,C Kkompany,Sachin Yardi,"Tusshar Kapoor , Anupam Kher , Rajpal Yadav , Raima Sen",Comedy
9,2008,EMI - Liya Hai Toh Chukana Parega,Saurabh Kabra,"Arjun Rampal , Sanjay Dutt , Urmila Matondkar , Malaika Arora Khan , Aashish Chaudhary , Neha Oberoi",Social
10,2010,Love Sex aur Dhokha,Dibakar Banerjee,"Anshuman Jha , Nushrat Bharucha , Sandeep Bose , Rajkummar Rao",Found footage
11,2010,Once Upon a Time in Mumbaai,Milan Luthria,"Ajay Devgn , Emraan Hashmi , Kangana Ranaut , Prachi Desai",Gangster
12,2011,Taryanche Bait,Kiran Yadnyopavit,"Vinay Apte , Sachin Khedekar , Ashwini Giri , Ashmita Joglekar",Drama
13,2011,Shor in the City,Raj Nidimoru & Krishna D.K,"Sendhil Ramamurthy , Tusshar Kapoor , Nikhil Dwivedi",Drama
14,2011,Ragini MMS,Pawan Kripalani,"Rajkummar Rao , Kainaz Motivala",Horror Thriller
15,2011,The Dirty Picture,Milan Luthria,"Vidya Balan , Emraan Hashmi , Tusshar Kapoor , Naseeruddin Shah",Biographic
16,2012,Kyaa Super Kool Hai Hum,Sachin Yardi,"Tusshar Kapoor , Riteish Deshmukh , Neha Sharma",Comedy
17,2013,Ek Thi Daayan,Kannan Iyer,"Emraan Hashmi , Konkana Sen Sharma , Huma Qureshi , Kalki Koechlin",Thriller
18,2013,Shootout at Wadala,Sanjay Gupta,"Anil Kapoor , John Abraham , Kangana Ranaut , Manoj Bajpayee , Tusshar Kapoor",Gangster Crime
19,2013,Lootera,Vikramaditya Motwane,"Ranveer Singh , Sonakshi Sinha",Romance
20,2013,Once Upon a Time In Mumbaai Dobara,Milan Luthria,"Akshay Kumar , Imran Khan , Sonakshi Sinha",Crime Romance
