Year,Title,Role,Appearance
2006,Monk,Roger Zisk,Mr. Monk Bumps His Head
2006,ER,Phil,Out on a Limb
2006,Standoff,Sam Ellis,Partners in Crime
2006,CSI : Crime Scene Investigation,Sgt . Jack Day,Toe Tags
2006,Grey 's Anatomy,Ted Carr,Where the Boys Are
2006,Close to Home,Joe Nelson,Shoot to Kill
2007,NCIS : Naval Criminal Investigation Service,Nick Hurley,Blowback
2007,Raines,Deputy Mark Jessup,Reconstructing Alice
2007,Criminal Minds,Paul Mulford,Open Season
2009,Supernatural,Nick Munroe,Sex and Violence
2008-2014,True Blood,Hoyt Fortenberry,66 episodes
2012,Alcatraz,Guy Hastings,Guy Hastings
2015,Resurrection,Preacher James,4 episodes
2018,The Deuce,Russell,5 episodes
2018,Escape at Dannemora,Police Officer Tarsia,1 episode
2019,Two Sentence Horror Stories,Ken,Episode 1 : Gentleman
2020,9-1-1 : Lone Star,Judd Ryder,Series regular
