Universe,Origin film,Start date,End date,Connecting characters
Universal Monsters,Dracula,1931,1951,"Dracula , Frankenstein , The Invisible Man and The Wolf Man"
Toho,Godzilla,1954,1975,"Godzilla , Rodan and Mothra"
Alien vs . Predator,Alien,1979,Present,Alien and Predator
Freddy vs. Jason,Friday the 13th,1980,2003,Jason Voorhees and Freddy Krueger
Full Moon Features,Puppet Master,1989,2016,"Demonic Toys , Puppet Master , Dollman and Bad Channels"
View Askewniverse,Clerks,1994,Present,Jay and Silent Bob
Lake Placid vs. Anaconda,Anaconda,1997,2015,Anaconda and Lake Placid
Sadako vs. Kayako,Ring,1998,2016,The Ring ( Japanese films ) and Ju-On ( Japanese films )
Unbreakable film series,Unbreakable,2000,2019,"David Dunn , Kevin Wendell Crumb and Elijah Price / Mr. Glass"
Marvel Cinematic Universe,Iron Man,2008,Present,"Iron Man , Hulk , Thor , Captain America , The Avengers , The Guardians of the Galaxy , Ant-Man , Wasp , Doctor Strange , Spider-Man , Black Panther , Captain Marvel , Black Widow and Eternals"
DC Extended Universe,Man of Steel,2013,Present,"Superman , Batman , Suicide Squad , Wonder Woman , Justice League , Aquaman , Shazam and Birds of Prey"
MonsterVerse,Godzilla,2014,Present,Godzilla and King Kong
