Player,Membership gained,Olympic gold,World Championship,Stanley Cup
Tomas Jonsson,27 February 1994,Sweden 1994,Sweden 1991,"New York Islanders 1982 , 1983"
Mats Näslund,27 February 1994,Sweden 1994,Sweden 1991,Montreal Canadiens 1986
Håkan Loob,27 February 1994,Sweden 1994,"Sweden 1987 , 1991",Calgary Flames 1989
Valeri Kamensky,10 June 1996,USSR 1988,"USSR 1986 , 1989 , 1990",Colorado Avalanche 1996
Alexei Gusarov,10 June 1996,USSR 1988,"USSR 1986 , 1989 , 1990",Colorado Avalanche 1996
Peter Forsberg *,10 June 1996,"Sweden 1994 , 2006","Sweden 1992 , 1998","Colorado Avalanche 1996 , 2001"
Viacheslav Fetisov *,7 June 1997,"USSR 1984 , 1988","USSR 1978 , 1981 , 1982 , 1983 , 1986 , 1989 , 1990","Detroit Red Wings 1997 , 1998"
Igor Larionov *,7 June 1997,"USSR 1984 , 1988","USSR 1982 , 1983 , 1986 , 1989","Detroit Red Wings 1997 , 1998 , 2002"
Alexander Mogilny,10 June 2000,USSR 1988,USSR 1989,New Jersey Devils 2000
Vladimir Malakhov,10 June 2000,Unified Team 1992,USSR 1990,New Jersey Devils 2000
Rob Blake *,24 February 2002,Canada 2002,"Canada 1994 , 1997",Colorado Avalanche 2001
Joe Sakic *,24 February 2002,Canada 2002,Canada 1994,"Colorado Avalanche 1996 , 2001"
Brendan Shanahan *,24 February 2002,Canada 2002,Canada 1994,"Detroit Red Wings 1997 , 1998 , 2002"
Scott Niedermayer *,9 May 2004,"Canada 2002 , 2010",Canada 2004,"New Jersey Devils 1995 , 2000 , 2003 Anaheim Ducks 2007"
Jaromír Jágr,15 May 2005,Czech Republic 1998,"Czech Republic 2005 , 2010","Pittsburgh Penguins 1991 , 1992"
Jiří Šlégr,15 May 2005,Czech Republic 1998,Czech Republic 2005,Detroit Red Wings 2002
Nicklas Lidström *,26 February 2006,Sweden 2006,Sweden 1991,"Detroit Red Wings 1997 , 1998 , 2002 , 2008"
Fredrik Modin,26 February 2006,Sweden 2006,Sweden 1998,Tampa Bay Lightning 2004
Chris Pronger *,6 June 2007,"Canada 2002 , 2010",Canada 1997,Anaheim Ducks 2007
Niklas Kronwall,4 June 2008,Sweden 2006,Sweden 2006,Detroit Red Wings 2008
