Name,Pennant no,Type,Class,Commissioned
HMAS Adelaide,L01,Landing Helicopter Dock,Canberra,2015
HMAS Albany,ACPB 86,Patrol boat,Armidale,2006
HMAS Anzac,FFH 150,Frigate,Anzac,1996
HMAS Ararat,ACPB 89,Patrol boat,Armidale,2006
HMAS Armidale,ACPB 83,Patrol boat,Armidale,2005
HMAS Arunta,FFH 151,Frigate,Anzac,1998
HMAS Ballarat,FFH 155,Frigate,Anzac,2004
HMAS Bathurst,ACPB 85,Patrol boat,Armidale,2006
HMAS Benalla,A 04,Survey launch,Paluma,1990
HMAS Brisbane,DDG 41,Destroyer,Hobart,2018
HMAS Broome,ACPB 90,Patrol boat,Armidale,2007
HMAS Canberra,L02,Landing helicopter dock,Canberra,2014
HMAS Childers,ACPB 93,Patrol boat,Armidale,2007
HMAS Choules,L100,Landing ship dock,Bay,2011
HMAS Collins,SSG 73,Submarine,Collins,1996
HMAS Dechaineux,SSG 76,Submarine,Collins,2001
HMAS Diamantina,M 86,Minehunter,Huon,2002
HMAS Farncomb,SSG 74,Submarine,Collins,1998
HMAS Gascoyne,M 85,Minehunter,Huon,2001
HMAS Glenelg,ACPB 96,Patrol boat,Armidale,2008
