National ranking,Name,Net worth ( USD ),Source ( s ) of wealth
1,Pierre Omidyar,12.9 billion,eBay
2,Ghermezian family,4.0 billion,Triple Five Group
3,Farhad Moshiri,2.8 billion,"Metalloinvest , Arsenal F.C"
4,Nazarian family,2.0 billion,Qualcomm
5,Vincent & Robert Tchenguiz,1.4 billion,Real Estate
6,Manny Mashouf,1.3 billion,Bebe stores
7,Merage family,1.1 billion,Hot Pockets
8,Nasser David Khalili,1.0 billion,Real Estate
9,Hassan Khosrowshahi,950 million,Future Shop
10,Omid Kordestani,900 million,Google
11,Anousheh Ansari,750 million,Sonus Networks
12,Isaac Larian,723 million,MGA Entertainment
13,Arash Ferdowsi,400 million,Dropbox
