Year,Round,Pick,Name,From
1951,1,2,Mel Hutchins,Brigham Young University
1951,2,11,Bill Gossett,Colorado State University
1951,3,21,Ron Bontemps,Beloit College
1951,4,31,Jim Slaughter,University of South Carolina
1951,5,41,Bob Sakel,University of Evansville
1951,6,51,John Rennicke,Drake University
1951,7,61,Bob Ambler,University of Arkansas
1951,8,71,Aaron Preece,Bradley University
1951,9,79,Wayne Tucker,University of Colorado
1951,10,83,John DeWitt,Texas A & M University
1950,1,3,Bob Cousy,College of the Holy Cross
1950,2,,Ed Gayda,Washington State University
1950,3,,Clarence Brannum,Kansas State University
1950,4,,Paul Hicks,Eastern Kentucky University
1950,5,51,Cal Christensen,University of Toledo
1950,6,,Bob Anderson,Loyola College Maryland
1950,7,,Bill Erickson,University of Illinois at Urbana-Champaign
1950,8,,Loy Doty,University of Wyoming
1950,9,99,Nate DeLong,University of Wisconsin-River Falls
1950,10,,Keith Bloom,University of Wyoming
