Name,Type,Date,Condition,Notes
Deal Castle,Device Fort,1539,Complete,"A 16th-century coastal artillery fort , located in Deal , between Walmer Castle and the now lost Sandown Castle"
Dover Castle,Castle,12th century,Complete,A medieval castle in the town of the same name in the English county of Kent . It was founded in the 12th century and has been described as the Key to England due to its defensive significance throughout history . It is the largest castle in England
Dymchurch Martello Tower,Martello Tower,1805,Restored,A Martello Tower in Dymchurch . It stands immediately behind the sea wall . Part of a coastal defence programme
Eynsford Castle,Castle,1088,Ruins,"A stone Norman castle in the English county of Kent , within the civil parish bounds of the village of Eynsford . It was historically the manor owning most of the land of the village"
Faversham Stone Chapel,Chapel,AD500,Ruins,"A ruined Church of Our Lady of Elwarton , located near Faversham . Its origins date back to the Roman era when it was used for pagan purposes"
Horne 's Place Chapel,Chapel,1276,Complete,A late mediaeval timber-framed house with private chapel in Appledore
Kit 's Coty House,Megalithic tomb,Neolithic,Ruins,Kit 's Coty is the name of the remains of a Neolithic chambered long barrow on Blue Bell Hill near Aylesford
"Knights Templar Church , Dover",Church,11th century,Ruins,"The ruins of a mediaeval church of the Knights Templar , on Bredenstone hill , part of the Dover Western Heights"
Little Kit 's Coty House,Megalithic tomb,Neolithic,Ruins,The name of the remains of a Neolithic chambered long barrow on Blue Bell Hill near Aylesford
Lullingstone Roman Villa,Roman Villa,1st century,Ruins,"A villa built during the Roman occupation of Britain , situated near the village of Eynsford . The ruins contain a Roman temple-mausoleum , one of the earliest known chapels in the country"
"Maison Dieu , Faversham",Hospice,1234,Complete,"The building is a hospital , monastery , hostel , retirement home and Royal lodge commissioned by Henry III in 1234 . The building is located beside what is now the A2 road in Faversham"
"Milton Chantry , Gravesend",Chantry chapel,1322,Complete,"A former Chantry in Gravesend . Now used as the Chantry Heritage Centre displaying a range of exhibits relating to Gravesend , Northfleet and the nearby villages . It is situated within the Napoleonic built Fort Gardens"
Old Soar Manor,Manor house,13th century,Complete,A small 13th century stone manor house near Plaxtol
Reculver Roman Fort and Reculver Towers,Roman fort and Church,3rd century and 12th century,Ruins,"A Roman fort built during the 3rd century to protect the coastline of Britain . A medieval church was built within the fort , and had two towers added in the late 12th century . They survived the demolition of the church in 1809 , to provide a landmark for shipping"
Richborough Castle and Amphitheatre,Roman fort,3rd century,Ruins,The ruined remains of a Roman Saxon Shore Fort . It was a major port of Roman Britain . It situated in Richborough near Sandwich
Rochester Castle,Castle,1087-1089,Ruins,"A 12th-century keep or stone tower , is the castle 's most prominent feature , which is one of the best preserved in England or France . Located along the River Medway and Watling Street , in Medway"
St Augustine 's Abbey,Abbey,5th century,Ruins,"A Benedictine monastery in Canterbury . The abbey was founded in 598 and functioned as a monastery until its dissolution in 1538 during the English Reformation . After the abbey 's dissolution , it underwent dismantlement until 1848 . Since 1848 , part of the site has been used for educational purposes and the abbey ruins have been preserved for their historical value"
St Augustine 's Conduit House,Water supply,12th century,Ruins,"The remains of a medieval conduit house in Kings Park , Canterbury . Built to supply water to nearby St Augustine 's Abbey"
St Augustine 's Cross,Standing cross,1884,Complete,"A stone memorial in Pegwell Bay , Thanet . The cross was erected in 1884 to commemorate the arrival of St Augustine in England in AD 597"
St John 's Commandery,Priory,13th century,Mostly complete,"Also known as St John 's Commandery , Swingfield was a priory built for the Knights Templar about 5 miles north of Folkestone , Kent"
