Position,Name,School,ABCA,BA,CB
Pitcher,Jeff Austin,Stanford,-,Y,Y
Pitcher,Seth Etherton,USC,Y,Y,Y
Pitcher,Mike Fisher,South Alabama,Y,Y,-
Pitcher,Josh Fogg,Florida,-,Y,Y
Pitcher,Jack Krawczyk,USC,Y,-,Y
Pitcher,Alex Santos,Miami,Y,Y,-
Pitcher,Shane Wright,Texas Tech,Y,-,Y
Pitcher,Jeff Weaver ( 2 ),Fresno State,-,-,Y
Catcher,Sammy Serrano,Stetson,-,Y,Y
Catcher,Josh Bard,Texas Tech,Y,-,-
First baseman,Eddy Furniss ( 2 ) ♦,LSU,Y,Y,Y
Second baseman,Jeff Pickler,Tennessee,Y,Y,Y
Third baseman,Bo Robinson,UNC Charlotte,Y,-,-
Third baseman,Aubrey Huff,Miami,-,Y,-
Third baseman,Paul Day,Long Beach State,-,-,Y
Shortstop,Damon Thames,Rice,Y,Y,Y
Shortstop,Adam Everett,South Carolina,-,Y,-
Outfielder,Bubba Crosby,Rice,Y,Y,-
Outfielder,Kevin Mench,Delaware,Y,-,Y
Outfielder,Jeff Ryan,Wichita State,Y,-,Y
