Airport name,ICAO / TC LID / IATA,Location
Calgary ( Aerial Recon ) Heliport,CAR3,Calgary
Calgary ( Alberta Children 's Hospital ) Heliport,CAC6,Calgary
Calgary/Blue Con Heliport,CBC6,Calgary
Calgary ( Bow Crow ) Heliport,CEP2,Calgary
Calgary ( City/Bow River ) Heliport,CEL2,Calgary
Calgary ( Eastlake ) Heliport,CEL9,Calgary
Calgary ( Foothills Hospital ) Heliport,CFP3,Calgary
Calgary/K . Coffey Residence Heliport,CKC4,Calgary
Calgary ( Peter Lougheed Centre ) Heliport,CLC3,Calgary
Calgary ( Rockyview Hospital ) Heliport,CEM2,Calgary
Calgary/South Health Campus Hospital Heliport,CSH3,"Seton , Calgary"
De Winton ( Highwood ) Heliport,CED6,De Winton
