Name,Location,Type,# of visitors in 2002,# of visitors in 2008
Europa-Park,Rust,Amusement park,3.5 million,4.0 million
Berlin Zoological Garden,Berlin,Zoo,,3.0 million
VW Autostadt,Wolfsburg,Automobile park,,2.1 million
Nürburgring,Nürburg,Formula One park,2.0 million,
Therme Erding,Erding,Water park,1.5 million,
Movie Park Germany,Bottrop,Amusement park,1.3 million,
Legoland Deutschland,Günzburg,Miniature park,1.3 million,
Leipzig Zoological Garden Zoo of the future,Leipzig,Zoo,1.2 million,2.1 million
Phantasialand,Brühl,Amusement park,,1.75 million
Heide Park Resort,Soltau,Amusement park,,1.6 million
Deutsches Museum,Munich,Museum,1.4 million,
Hamburg Planetarium,Hamburg,Planetarium,,0.4 million
