Mound,Location,Date,Culture,Notes
Bynum Mound and Village Site,"Chickasaw County , Mississippi",100 BCE to 100 CE,Miller culture ( part of the Hopewell tradition ),"A Middle Woodland period archaeological site located near Houston , Mississippi . The complex of six conical shaped mounds was in use during the Miller 1 and Miller 2 phases of the Miller culture . and was built between 100 BCE and 100 CE . It was listed on the National Register of Historic Places in 1989 as part of the Natchez Trace Parkway at milepost 232.4"
Carl Potter Mound,"Champaign County , Ohio",?,?,"Also known as the Hodge Mound II , it is located in southern Champaign County , Ohio near Mechanicsburg , it lies on a small ridge in a pasture field in southeastern Union Township"
Conus,"Marietta Earthworks , Marietta , Ohio",100 BCE to 500 CE,Adena culture,"The conical Great Mound at Mound Cemetery is part of a mound complex known as the Marietta Earthworks , which includes the nearby Quadranaou and Capitolium platform mounds , the Sacra Via walled mounds ( largely destroyed in 1882 ) , and three enclosures"
Criel Mound,"South Charleston , West Virginia",250 to 150 BCE,Adena culture,"Located in South Charleston , West Virginia , the mound lies equidistant between two sacred circles , earthwork enclosures each 556 feet ( 169 m ) in diameter . It was originally 33 feet ( 10 m ) high and 173 feet ( 53 m ) in diameter at the base , making it the second-largest such burial mound in the state"
Crooks Mound,"La Salle Parish , Louisiana",100 BCE to 400 CE,Early Marksville culture,"A large Marksville culture mound site in La Salle Parish in south central Louisiana . It is a large conical mound that was part of at least six episodes of burials . It measured about 16 ft high ( 4.9 m ) and 85 ft wide ( 26 m ) . It contained roughly 1,150 remains that were placed however they were able to be fit into the structure of the mound . Sometimes body parts were removed in order to achieve that goal . Archaeologists think it was a holding house for the area that was emptied periodically in order to achieve this type of setup"
Dunns Pond Mound,"Logan County , Ohio",ca . 300 to 500 CE,Ohio Hopewell culture,"Located in northeastern Ohio near Huntsville , it lies along the southeastern corner of Indian Lake in Washington Township . In 1974 , the mound was listed on the National Register of Historic Places as a potential archeological site , with much of its significance deriving from its use as a burial site for as much as nine centuries"
Grave Creek Mound,"Moundsville , West Virginia",250 to 150 BCE,Adena culture,"At 69 feet ( 21 m ) high and 295 feet ( 90 m ) in diameter , the Grave Creek Mound is the largest conical type burial mound in the United States . In 1838 , much of the archaeological evidence in this mound was destroyed when several non-archaeologists tunneled into the mound . To gain entrance to the mound , two shafts , one vertical and one horizontal were created . This led to the most significant discovery of two burial vaults"
Grand Gulf Mound,"Claiborne County , Mississippi",50 to 150 CE,Marksville culture,"An Early Marksville culture site located near Port Gibson in Claiborne County , Mississippi , on a bluff 1 mile ( 1.6 km ) east of the Mississippi River , 2 miles ( 3.2 km ) north of the mouth of the Big Black River . The site has an extant burial mound , and may have possibly had two others in the past . The site is believed to have been occupied from 50 to 200 CE"
Indian Mounds Regional Park,"Saint Paul , Minnesota",1 to 500 CE,Hopewell and Dakota cultures,"Originally up to 37 mounds constructed , 6 still in existence"
Miamisburg Mound,"Miamisburg , Ohio",800 BCE to 100 CE,Adena culture,"The largest conical mound in the state of Ohio , constructed by the Adena culture on a 100-foot-high bluff , the mound measures 877 feet ( 267 m ) in circumference and its height is 65 feet ( 20 m )"
Mound City,"Chillicothe , Ohio",200 BCE to 500 CE,Ohio Hopewell culture,"Located on Ohio Highway 104 approximately four miles north of Chillicothe along the Scioto River , it is a group of 23 earthen mounds . Each mound within the Mound City Group covered the remains of a charnel house . After the Hopewell people cremated the dead , they burned the charnel house . They constructed a mound over the remains . They also placed artifacts , such as copper figures , mica , arrowheads , shells , and pipes in the mounds"
"Pinson Mounds Mounds 6 , 12 , and 31","Madison County , Tennessee",100 to 300 CE,Miller culture,"A mound complex which includes mounds , a geometric enclosure , and numerous habitation areas , it is the largest group of Middle Woodland mounds in the United States . The complex covers approximately 400 acres ( 1.6 km ) and contains at least 30 mounds , 17 of which have been identified as being completely or partially constructed by prehistoric peoples . It includes at least 3 burial mounds , and a number of ceremonial platform mounds"
Reservoir Stone Mound,"Licking County , Ohio",AD 85 to 135,Probably Adena culture,"Also known as the Jacksontown Stone Mound , the central , stone-covered structure was largely destroyed by the removal of stones to construct the Licking Reservoir and by a 19th-century treasure-hunter . Around the edge of the large stone mound were a number of earthen mounds , some of which contained burials"
