Club,Home city,2011 result
Botafogo-SP,Ribeirão Preto,13th
Bragantino,Bragança Paulista,15th
Catanduvense,Catanduva,4th ( Série A2 )
Comercial,Ribeirão Preto,3rd ( Série A2 )
Corinthians,São Paulo,2nd
Guarani,Campinas,2nd ( Série A2 )
Guaratinguetá,Guaratinguetá,12th
Ituano,Itu,16th
Linense,Lins,14th
Mirassol,Mirassol,7th
Mogi Mirim,Mogi Mirim,11th
Oeste,Itápolis,6th
Palmeiras,São Paulo,3rd
Paulista,Jundiaí,10th
Ponte Preta,Campinas,5th
Portuguesa,São Paulo,8th
Santos,Santos,1st
São Caetano,São Caetano do Sul,9th
São Paulo,São Paulo,4th
XV de Piracicaba,Piracicaba,1st ( Série A2 )
