Name,Country,Event,Date of violation,Banned substance ( s ) / Anti-doping rule violation,Sanction
Larry Wade,United States,Hurdling,2004,19-Norandrosterone,2 years
Alwin Wagner,West Germany,Discus throw,1977-1987,Self admittance : Steroids,-
Erick Walder,United States,Long jump,2004,"Amphetamine , Methamphetamine",2 years
Aleksander Waleriańczyk,Poland,High jump,2003,Caffeine,Public warning
Douglas Walker,Great Britain / Scotland,Sprinting,1998,Nandrolone,2 years
Delisa Walton-Floyd,United States,Middle distance,1991,Amphetamine,4 years
Wang Jiali,China,Marathon,2012,Biological passport,2 years
Wang Jing,China,Sprining,2009,Epitestosterone,4 years
Wang Lina,China,Long jump,2005,Norandrosterone,2 years
Wang Shizhu,China,Hammer throw,2013,,Public reprimand
Gareth Warburton,United Kingdom,Middle distance,2014,"17α-methyl-5 β-androstane-3α,17β-diol",6 months
Solomon Wariso,Great Britain / England,Sprinting,1994,Ephedrine,3 months
Wei Yanan,China,Long distance,2002,,2 years
Renward Wells,Bahamas,Sprinting,2002,,2 years
Joan Wenzel,Canada,Middle distance,1975,Ephedrine,
Kelli White,United States,Sprinting,2003 2000-2003,"Positive test : Modafinil BALCO scandal /Admission : THG , EPO",2 years
Janine Whitlock,Great Britain,Pole vault,2002,Methandienone,2 years
Bobby-Gaye Wilkins,Jamaica,Sprinting,2010,Andarine ( SARMs ),2 years
Bernard Williams,United States,Sprinting,2004,Cannabis,Public warning
Christopher Williams,Jamaica,Sprinting,2009,Amphetamine and levmetamphetamine,2 years
