Team,City,Arena,Capacity
Beovuk 72,Belgrade,SC Šumice,"2,000"
Fair Play,Niš,Dušan Radović School Hall,
Konstantin,Niš,Čair Sports Center,"4,000"
Mladost SP,Smederevska Palanka,Vuk Karadžić School Hall,500
Pirot,Pirot,Pirot Kej Hall,835
Proleter Naftagas,Zrenjanin,Crystal Hall,"3,000"
Radnički Beograd,Belgrade,SC Šumice,"1,000"
Radnički Kragujevac,Kragujevac,Jezero Hall,"3,750"
Sloga,Kraljevo,Kraljevo Sports Hall,"3,350"
Spartak,Subotica,SC Dudova Šuma,"3,000"
Sveti Đorđe,Žitište,Nikola Tesla School Hall,
Zdravlje,Leskovac,SRC Dubočica,"3,600"
Zemun Fitofarmacija,Belgrade,Pinki Hall,"5,000"
Železničar,Čačak,Borac Hall,"4,000"
