Year,Title,Role,Notes
1985-1988,The Equalizer,N/A ( 1985 ) Harmon Hunter ( 1986 ) Arthur Williams ( 1988 ),Episode : Lady Cop Episode : Dead Drop Episode : Sea of Fire
1988,227,The Santa Thief,Episode : The Night They Arrested Santa Claus
1989,Perfect Strangers,Carl Winslow,Episode : Crimebusters
1989-1998,Family Matters,Carl Winslow,"Main role , 215 episodes"
1992,Tales from the Crypt,Hotel Guest,Episode : Werewolf Concerto
1993,Dream On,Santa,"Episode : Silent Night , Holy Cow :"
1994,A Cool Like That Christmas,Dad ( Voice ),Television movie
1994,One of Her Own,Det . Bob Hymes,Television movie
1996,Deadly Pursuits,Ed Conroy,Television movie
1998,Diagnosis : Murder,Dr. David Sinclair,Episode : The Last Resort
1999,The Hughleys,Rev . Bennett,Episode : Daddy 's Going to Hell
2000,Twice in a Lifetime,Dr. David Bryant,Episode : Whistle Blower
2001,The Fugitive,Maurice Beaumont,Episode : Lagniappe
2002,CSI : Crime Scene Investigation,Dr. Phillip Kane,"Episodes : Face Lift and Gentle , Gentle"
2002,Crossing Jordan,Mr. Holden,Episode : Someone to Count On
2002,Will & Grace,Dr. Kaplan,"Episode : It 's the Gay Pumpkin , Charlie Brown"
2003,The Parkers,Sterling Oglevee,Episode : A Sterling Relationship
2005,Thats So Raven,"Dikembe , The Ambassador",Episode : The Royal Treatment
2005,Ghost Whisperer,Danny Small,Episode : Undead Comic
2006,Eve,Rev . Everett,"Episode : Oh , Brother"
