Code,Subdivision name ( en ),Subdivision name ( ga ),In province
IE-CW,Carlow,Ceatharlach,L
IE-CN,Cavan,An Cabhán,U
IE-CE,Clare,An Clár,M
IE-CO,Cork,Corcaigh,M
IE-DL,Donegal,Dún na nGall,U
IE-D,Dublin,Baile Átha Cliath,L
IE-G,Galway,Gaillimh,C
IE-KY,Kerry,Ciarraí,M
IE-KE,Kildare,Cill Dara,L
IE-KK,Kilkenny,Cill Chainnigh,L
IE-LS,Laois,Laois,L
IE-LM,Leitrim,Liatroim,C
IE-LK,Limerick,Luimneach,M
IE-LD,Longford,An Longfort,L
IE-LH,Louth,Lú,L
IE-MO,Mayo,Maigh Eo,C
IE-MH,Meath,An Mhí,L
IE-MN,Monaghan,Muineachán,U
IE-OY,Offaly,Uíbh Fhailí,L
IE-RN,Roscommon,Ros Comáin,C
