Country,Primary colours,Secondary colours
Argentina,Light blue and white,Blue and black ( used in sports )
Bolivia,"Red , yellow and green",White ( used in sports )
Brazil,Green and yellow,Blue and white
Chile,"Red , white and blue",
Colombia,"Yellow , blue and red",Dark blue and white ( used in sports )
Ecuador,"Yellow , blue and red",Sky blue ( used in sports )
French Guiana,Yellow and green,Blue ( used in sports )
Guyana,Yellow and green,Red and black
Paraguay,"Red , white and blue",Bluegray ( used in sports )
Peru,Red and white,
Suriname,White and green,Red and gold
Uruguay,Blue and white,Red ; light blue and black are used in sports
Venezuela,"Yellow , blue and red",Burgundy and khaki ( used in sports )
