Event,Gold,Silver,Bronze
Men 's 470 details,Australia Mathew Belcher Malcolm Page,Great Britain Luke Patience Stuart Bithell,Croatia Šime Fantela Igor Marenić
Women 's 470 details,Spain Tara Pacheco Berta Betanzos,Great Britain Hannah Mills Saskia Clark,New Zealand Jo Aleh Polly Powrie
49er details,Australia Nathan Outteridge Iain Jensen,New Zealand Peter Burling Blair Tuke,Denmark Emil Toft Nielsen Simon Toft Nielsen
Elliott 6m details,United States Anna Tunnicliffe Deborah Capozzi Molly Vandemoer,Great Britain Lucy MacGregor Annie Lush Kate MacGregor,France Claire Leroy Elodie Bertrand Marie Riou
Laser details,Tom Slingsby ( AUS ),Nick Thompson ( GBR ),Andrew Murdoch ( NZL )
Laser Radial details,Marit Bouwmeester ( NED ),Evi Van Acker ( BEL ),Paige Railey ( USA )
Finn details,Giles Scott ( GBR ),Pieter-Jan Postma ( NED ),Edward Wright ( GBR )
Men 's RS : X details,Dorian van Rijsselberghe ( NED ),Piotr Myszka ( POL ),Nimrod Mashiach ( ISR )
Women 's RS : X details,Lee Korzits ( ISR ),Zofia Noceti-Klepacka ( POL ),Marina Alabau ( ESP )
Star details,Brazil Robert Scheidt Bruno Prada,Germany Robert Stanjek Frithjof Kleen,United States Mark Mendelblatt Brian Fatih
