Award,Named after,Field
Sakharov Prize,Andrei Sakharov,Human rights
Sakurai Prize,J. J. Sakurai,Theoretical particle physics
M. A. Sargent Medal,M. A. Sargent,Engineering
Salimbeni Prize,Lorenzo and Jacopo Salimbeni,
David Sarnoff Award,David Sarnoff,
Eiji Sawamura Award,Eiji Sawamura,Baseball
Sigi Schmid Coach of the Year Award,Sigi Schmid,Association football
Schneider Trophy,Jacques Schneider,Aviation
Rolf Schock Prizes,Rolf Schock,
Walter Schottky Prize,Walter Schottky,Solid-state physics
Ben Schwartzwalder Trophy,Ben Schwartzwalder,American football
Glenn T. Seaborg Medal,Glenn T. Seaborg,
Segrave Trophy,Henry Segrave,Transportation
Frank J. Selke Trophy,Frank J. Selke,Ice hockey
Seve Trophy,Seve Ballesteros,Golf
Barry Sheene Medal,Barry Sheene,Auto racing
Shaw Prize,邵逸夫 Run Run Shaw,Science
Claude E. Shannon Award,Claude Shannon,Information theory
Shewhart Medal,Walter A. Shewhart,
Shinmura Izuru Prize,Izuru Shinmura,Linguistics
