Constituency,Candidate,Votes,%,Position
Aberdeen North,Aitken Ferguson,"1,686",5.8,3
Battersea North,Shapurji Saklatvala,"6,554",18.6,3
Bethnal Green South West,Robert Dunstan,"1,368",7.7,3
Bothwell,Helen Crawfurd,"1,677",5.5,3
Caerphilly,Jock Wilson,829,2.2,4
Dundee,Bob Stewart,"6,160",3.6,5
Dunfermline Burghs,Jack Leckie,"1,712",6.5,3
Glasgow St Rollox,George Middleton,613,1.9,3
Greenock,Alec Geddes,"7,005",25.1,3
Hackney South,J. T. Murphy,331,1.1,4
Hamilton,Frank Moore,395,1.6,3
Limehouse,Walter Tapsell,245,1.0,4
Manchester Platting,Joseph Vaughan,401,1.0,3
Mansfield,Rose Smith,533,1.1,4
Motherwell,Isabel Brown,984,3.4,4
Ogmore,John Ross Campbell,"1,525",3.8,4
Rhondda East,Arthur Horner,"5,789",15.2,3
Rutherglen,Alex Moffat,842,2.5,4
Seaham,Harry Pollitt,"1,431",2.9,4
Sheffield Attercliffe,George Fletcher,"1,731",5.5,4
