Year,Name,Club/Nation,Time
1997,Sofia Lind,"Åsarna IK , Sweden",5:06:35
1998,Kerrin Petty,"IFK Mora , citizen of United States",4:17:02
1999,Sofia Lind,"Åsarna IK , Sweden",5:04:50
2000,Svetlana Nageykina,Russia,4:52:35
2001,Ulrica Persson,"SK Bore , Sweden",4:31:05
2002,Svetlana Nageykina,Belarus,4:38:47
2003,Ulrica Persson,"SK Bore , Sweden",4:32:57
2004,Sofia Lind,"Åsarna IK , Sweden",4:20:28
2005,Sofia Lind,"Åsarna IK , Sweden",4:24:09
2006,Cristina Paluselli,Italy,4:59:24
2007,Elin Ek,"IFK Mora , Sweden",4:48:29
2008,Sandra Hansson,"Uddevalla IS , Sweden",4:47:16
2009,Sandra Hansson,"Uddevalla IS , Sweden",4:43:13
2010,Susanne Nyström,"IFK Mora , Sweden",4:33:07
2011,Jenny Hansson,"Östersunds SK , Sweden",4:25:30
2012,Vibeke Skofterud,"Slitu IF , Norway",4:08:24
2013,Laila Kveli,"Lierne IL , Norway",4:22:22
2014,Laila Kveli,"Lierne IL , Norway",4:31:57
2015,Justyna Kowalczyk,Poland,4:41:02
2016,Katerina Smutna,Austria,4:17:56
