Year,Films,Role
2016,Sisterhood,writer
2013,Cold Eyes,writer
2011,Life Without Principle,writer
2016,Sisterhood,writer
2009,Written By,writer
2009,Tactical Unit - Comrades in Arms,writer
2007,Mad Detective,writer
2007,Triangle,writer
2007,Eye in the Sky,writer
2006,The Shopaholics,writer
2004,Yesterday Once More,writer
2004,Throw Down,writer
2004,Fantasia,writer
2003,Running on Karma,writer
2003,"Turn Left , Turn Right",writer
2003,PTU,writer
2003,Love For All Seasons,writer
2002,My Left Eye Sees Ghosts,writer
2002,Fat Choi Spirit,writer
2001,Running Out of Time 2,writer
