No,Position,Player,Nation
1,Goalkeeper,David Bingham ( GA ),United States
2,Midfielder,Jacob Hustedt,United States
4,Midfielder,Sam Cronin,United States
5,Midfielder,Brad Ring,United States
6,Midfielder,Shea Salinas,United States
7,Midfielder,Khari Stephenson,Jamaica
8,Forward,Chris Wondolowski ( Vice-Captain ),United States
9,Forward,Sercan Güvenışık,Turkey
10,Forward,Simon Dawkins ( on loan from Tottenham Hotspur ),England
11,Midfielder,Mehdi Ballouchy,Morocco
12,Midfielder,Ramiro Corrales ( Captain ),United States
13,Goalkeeper,Evan Newton,United States
14,Midfielder,Jean Alexandre,Haiti
15,Defender,Justin Morrow,United States
16,Forward,Alan Gordon,United States
17,Midfielder,Joey Gjertsen,United States
18,Goalkeeper,Jon Busch,United States
19,Forward,Sam Garza ( GA ),United States
20,Defender,Tim Ward,United States
21,Defender,Jason Hernandez,United States
