Outcome,No,Date,Tournament,Surface,Partner,Opponents in the final,Score
Winner,1,21 April 1997,"Biograd , Croatia",Clay,Katarina Srebotnik,Katia Altilia Charlotte Aagaard,"6-4 , 6-2"
Winner,2,29 April 1997,"Zadar , Croatia",Clay,Katarina Srebotnik,Yvette Basting Susanne Trik,"7-5 , 7-5"
Winner,3,23 March 1998,"Makarska , Croatia",Clay,Katarina Srebotnik,Ľudmila Cervanová Zuzana Váleková,"6-3 , 6-1"
Winner,4,5 April 1998,"Hvar , Croatia",Clay,Katarina Srebotnik,Helena Vildová Antoaneta Pandjerova,"7-5 , 6-3"
Winner,5,6 September 1998,"Spoleto , Italy",Clay,Michaela Paštiková,Hiroko Mochizuki Ryoko Takemura,"6-3 , 6-4"
Winner,6,24 May 1999,"Warsaw , Poland",Clay,Magda Mihalache,Cho Yoon-jeong Park Sung-hee,"6-1 , 6-3"
Winner,7,11 June 2001,"Grado , Italy",Clay,Magda Mihalache,Renata Kučerová Eva Martincová,"5-7 , 6-3 , 7-5"
Runner-up,1,24 November 2002,"Zagreb , Croatia",Hard ( i ),Matea Mezak,Mervana Jugić-Salkić Karolina Šprem,"2-6 , 4-6"
Winner,8,16 October 2005,"Joué-lès-Tours , France",Hard,Matea Mezak,Zsófia Gubacsi Darya Kustova,"6-4 , 6-4"
Winner,9,11 December 2006,"Dubai , United Arab Emirates",Hard,Mervana Jugić-Salkić,Kateryna Bondarenko Valeria Bondarenko,"6-3 , 6-0"
Runner-up,2,11 May 2008,"Zagreb , Croatia",Clay,Stéphanie Foretz,Melinda Czink Sunitha Rao,"4-6 , 2-6"
Winner,10,13 July 2008,"Zagreb , Croatia",Clay,Maret Ani,Yuliya Beygelzimer Stefanie Vögele,"6-4 , 6-2"
