Rank,Rider,Team,Time
1,Felix Großschartner ( AUT ),Bora-Hansgrohe,24h 53 ' 58
2,Valerio Conti ( ITA ),UAE Team Emirates,+ 19
3,Merhawi Kudus ( ERI ),Astana,+ 25
4,Remco Evenepoel ( BEL ),Deceuninck-Quick-Step,+ 53
5,Edgar Pinto ( POR ),W52-FC Porto,+ 59
6,Jan Polanc ( SLO ),UAE Team Emirates,+ 1 ' 12
7,Gonzalo Serrano ( ESP ),Caja Rural-Seguros RGA,+ 1 ' 29
8,Mauro Finetto ( ITA ),Delko-Marseille Provence,+ 1 ' 31
9,Kyle Murphy ( USA ),Rally UHC Cycling,+ 1 ' 42
10,Etienne van Empel ( NED ),Neri Sottoli-Selle Italia-KTM,+ 1 ' 48
