Name,Age ( approx . ),Location,Material
Venus of Hohle Fels,"35,000-40,000","Swabian Alb , Germany",mammoth ivory
Venus of Galgenberg,"30,000",Lower Austria,serpentine rock
Venus of Dolní Věstonice,"27,000-31,000","Moravia , Czech Republic",ceramic
Venus of Lespugue,"24,000-26,000",French Pyrenees,ivory
Venus of Willendorf,"24,000-26,000",Lower Austria,limestone
Venus of Brassempouy,"23,000","Brassempouy , France",ivory
Venus of Petřkovice,"23,000","Silesia , Czech Republic",hematite
Venus figurines of Mal'ta,"23,000","Irkutsk Oblast , Russia",ivory
Venuses of Buret ',"23,000","Irkutsk Oblast , Russia","ivory , serpentine rock"
Venus of Moravany,"23,000","Moravany nad Váhom , Slovakia",mammoth ivory
Venus of Savignano,"20,000-25,000","Savignano sul Panaro , Italy",serpentine rock
Venus figurines of Balzi Rossi,"18,000-25,000","Ventimiglia , Italy","ivory , soapstone , serpentine , chlorite"
Venus figurines of Gönnersdorf,"11,500-15,000","Neuwied , Germany","ivory , antler , bone"
Venus figurines of Petersfels,"11,500-15,000","Engen , Germany",black jet
Venus of Monruz,"11,000","Neuchâtel , Switzerland",black jet
