Distance,Mark,Date,Location
1500 m,3:52.6,19 June 1924,Helsinki
Mile,4:10.4,23 August 1923,Stockholm
2000 m,5:26.3,4 September 1922,Tampere
2000 m,5:24.6,18 June 1927,Kuopio
3000 m,8:28.6,27 August 1922,Turku
3000 m,8:25.4,24 May 1926,Berlin
3000 m,8:20.4,13 July 1926,Stockholm
2 miles,8:59.6,24 July 1931,Helsinki
3 miles,14:11.2,24 August 1923,Stockholm
5000 m,14:35.4,12 September 1922,Stockholm
5000 m,14:28.2,19 June 1924,Helsinki
4 miles,19:15.4,1 October 1924,Viipuri
5 miles,24:06.2,1 October 1924,Viipuri
6 miles,29:36.4,8 June 1930,London
"10,000 m",30:40.2,22 June 1921,Stockholm
"10,000 m",30:06.2,31 August 1924,Kuopio
15000 m,46:49.6,7 October 1928,Berlin
10 miles,50:15.0,7 October 1928,Berlin
One hour run,"19,210 m",7 October 1928,Berlin
"20,000 m",1:04:38.4,3 September 1930,Stockholm
