Name,Location,Year,Size Total area
Phoenix Marketcity ( Mumbai ),Mumbai,2010,"4,100,000 sq ft ( 380,000 m )"
DLF Mall of India,Noida,2016,"2,000,000 sq ft ( 190,000 m )"
VR Chennai,Chennai,2018,"2,000,000 sq ft ( 190,000 m )"
Sarath City Capital Mall,Hyderabad,2018,"1,930,000 sq ft ( 180,000 m )"
"Z Square Mall , Kanpur",Kanpur,2010,"1,500,000 sq ft ( 140,000 m )"
LuLu International Shopping Mall,Kochi,2013,"1,500,000 sq ft ( 140,000 m )"
Hilite Mall,Calicut,2014,"1,500,000 sq ft ( 140,000 m )"
Phoenix Marketcity ( Bangalore ),Bengaluru,2010,"1,400,000 sq ft ( 130,000 m )"
"World Trade Park , Jaipur",Jaipur,2012,"1,300,000 sq ft ( 120,000 m )"
Elante Mall,Chandigarh,2013,"1,150,000 sq ft ( 107,000 m )"
VR Amritsar,Amritsar,2018,"1,000,000 sq ft ( 93,000 m )"
Esplanade One,Bhubaneswar,2018,"1,000,000 sq ft ( 93,000 m )"
Phoenix Marketcity ( Chennai ),Chennai,2013,"1,000,000 sq ft ( 93,000 m )"
Viviana Mall,Thane,2013,"1,000,000 sq ft ( 93,000 m )"
Fun Republic,Lucknow,2007,"970,000 sq ft ( 90,000 m )"
The Grand Venice Mall,Greater Noida,2016,"947,000 sq ft ( 88,000 m2 )"
Mantri Square,Bengaluru,2010,"924,000 sq ft ( 85,800 m )"
Express Avenue,Chennai,2010,"900,000 sq ft ( 84,000 m )"
Orion Mall,Bengaluru,2012,"850,000 sq ft ( 79,000 m )"
The Great India Place,Noida,,"850,000 sq ft ( 79,000 m )"
