Club,Country,Number won,Year ( s ) won,Notes
Rangers,Scotland,17,"1947 , 1949 , 1961 , 1964 , 1976 , 1978 , 1987 , 1989 , 1991 , 1993 , 1994 , 1997 , 1999 , 2003 , 2005 , 2010 , 2011","In 1976 as part of a domestic Quadruple with the Scottish Cup and the Glasgow Cup , in 1949 , 1964 , 1978 , 1993 , 1999 and 2003 as part of a domestic Treble with the Scottish Cup"
Celtic,Scotland,12,"1966 , 1967 , 1968 , 1969 , 1970 , 1998 , 2001 , 2006 , 2015 , 2017 , 2018 , 2019","In 1967 as part of the Quintuple with the European Cup , Scottish Cup and the Glasgow Cup , in 1969 , 2001 , 2017 , 2018 and 2019 as part of a domestic Treble with the Scottish Cup"
Shamrock Rovers,Republic of Ireland,6,"1925 , 1927 , 1932 , 1938 , 1957 , 1964","In 1925 , 1932 and 1964 as part of a domestic Treble with the FAI Cup"
The New Saints,Wales,6,"2006 , 2010 , 2015 , 2016 , 2017 , 2018",In 2015 and 2016 as part of a domestic Treble with the Welsh Cup
Linfield,Northern Ireland,6,"1987 , 1994 , 2000 , 2006 , 2008 , 2019","In 1994 , 2006 and 2008 as part of a domestic Treble with the Irish Cup"
Bohemian,Republic of Ireland,5,"1924 , 1928 , 1934 , 1975 , 2009",In 1928 as part of a domestic Treble with the FAI Cup
Tokyo Verdy,Japan,4,"1991 , 1992 , 1993 , 1994",
Sunrise,Mauritius,4,"1990 , 1992 , 1996 , 1997",In 1992 and 1996 as part of a domestic Treble with the Mauritian Cup
Benfica,Portugal,4,"2010 , 2014 , 2015 , 2016",In 2014 as part of a domestic Treble with the Taça de Portugal
Paris Saint-Germain,France,4,"2014 , 2015 , 2016 , 2018","In 2015 , 2016 and 2018 as part of a domestic Treble with the Coupe de France"
Liverpool,England,3,"1982 , 1983 , 1984",In 1984 as part of a Treble with the European Cup
Barry Town,Wales,3,"1997 , 1998 , 1999",In 1997 as part of a domestic Treble with the Welsh Cup
Bayern Munich,Germany,3,"1997 , 1999 , 2000",In 2000 as part of a domestic Treble with the DFB-Pokal
Kaizer Chiefs,South Africa,3,"1984 , 1989 , 2004","In 1984 as part of a domestic Treble with the Nedbank Cup , in 1989 as part of a domestic Treble with the MTN 8"
FH,Iceland,3,"2004 , 2006 , 2009",
Buriram United,Thailand,3,"2011 , 2013 , 2015",As part of a domestic Treble with the Thai FA Cup
Manchester City,England,3,"2014 , 2018 , 2019",In 2019 as part of a domestic Treble with the FA Cup
Shelbourne,Republic of Ireland,2,"1926 , 1944",
Yokohama F. Marinos,Japan,2,"1989 , 1990",In 1989 as part of a domestic Treble with the Emperor 's Cup
Mamelodi Sundowns,South Africa,2,"1990 , 1999",In 1990 as part of a domestic Treble with the MTN 8
