No,Name,Position,Seasons,Hometown,Inducted
25,Svetlana Abrosimova,F,1997-2001,"St. Petersburg , Russia","20061221 December 21 , 2006"
24,Kerry Bascom,C / F,1987-91,"Epping , New Hampshire","20061221 December 21 , 2006"
10,Sue Bird,G,1998-2002,"Syosset , New York","20061221 December 21 , 2006"
32,Swin Cash,F,1998-2002,"McKeesport , Pennsylvania","20061221 December 21 , 2006"
31,Tina Charles,C,2006-10,"Jamaica , New York","20100212 February 13 , 2010"
31,Stefanie Dolson,C,2010-14,"Port Jervis , New York","20140301 March 1 , 2014"
14,Bria Hartley,G,2010-14,"North Babylon , New York","20140301 March 1 , 2014"
4,Moriah Jefferson,G,2012-16,"Glenn Heights , Texas","20160227 February 27 , 2016"
50,Rebecca Lobo,C / F,1991-95,"Southwick , Massachusetts","20061221 December 21 , 2006"
20,Renee Montgomery,G,2005-09,"St. Albans , West Virginia","20090215 February 15 , 2009"
23,Maya Moore,F,2007-11,"Lawrenceville , Georgia","20110228 February 28 , 2011"
23,Kaleena Mosqueda-Lewis,F,2011-15,"Anaheim Hills , Anaheim , California","20150228 February 28 , 2015"
33,Shea Ralph,G,1996-2001,"Fayetteville , North Carolina","20061221 December 21 , 2006"
21,Jennifer Rizzotti,G,1992-96,"New Fairfield , Connecticut","20061221 December 21 , 2006"
42,Nykesha Sales,G,1994-98,"Bloomfield , Connecticut","20061221 December 21 , 2006"
30,Breanna Stewart,F,2012-16,"North Syracuse , New York","20160227 February 27 , 2016"
0 3,Diana Taurasi,G,2000-04,"Chino , California","20061221 December 21 , 2006"
0 3,Morgan Tuck,F,2012-16,"Grand Rapids , Michigan / Bolingbrook , Illinois","20160406 April 6 , 2016"
15,Gabby Williams,G,2014-18,"Sparks , Nevada","20061221 February 26 , 2018"
52,Kara Wolters,C,1993-97,"Holliston , Massachusetts","20061221 December 21 , 2006"
