Name,Club,Matches
Matt Adamson,Penrith Panthers,5
Bradley Clyde *,Canberra Raiders,2
Laurie Daley *,Canberra Raiders,5
Andrew Ettingshausen *,Cronulla-Sutherland Sharks,4
David Furner *,Canberra Raiders,1
Ryan Girdler *,Penrith Panthers,3
Craig Gower *,Penrith Panthers,5
Paul Green,Cronulla-Sutherland Sharks,2
Craig Greenhill,Cronulla-Sutherland Sharks,3
Solomon Haumono,Canterbury Bulldogs,1
Rodney Howe *,Perth Reds,1
Robbie Kearns *,Perth Reds,1
Brett Kimmorley *,Hunter Mariners,2
Allan Langer *,Brisbane Broncos,1
Glenn Lazarus *,Brisbane Broncos,1
Darren Lockyer *,Brisbane Broncos,4
Brett Mullins *,Canberra Raiders,3
Ken Nagas,Canberra Raiders,5
Julian O'Neill,Perth Reds,1
David Peachey,Cronulla-Sutherland Sharks,1
