Venue,Sports,Capacity
Agios Kosmas Olympic Sailing Centre,Sailing,"8,000"
Ano Liosia Olympic Hall,"Judo , Wrestling","10,000"
Galatsi Olympic Hall,"Gymnastics ( rhythmic ) , Table tennis",Not listed
Kotzia Square,Cycling ( individual road race ),"3,150"
Marathon ( city ),Athletics ( marathon start ),Not listed
Nikaia Olympic Weightlifting Hall,Weightlifting,Not listed
Panathenaic Stadium,"Archery , Athletics ( marathon finish )","7,500 ( archery ) 34,500 ( athletics marathon finish )"
Parnitha Olympic Mountain Bike Venue,Cycling ( mountain biking ),Not listed
Peristeri Olympic Boxing Hall,Boxing,"5,600"
Schinias Olympic Rowing and Canoeing Centre,"Canoeing ( sprint ) , Rowing","14,000"
Stadium at Olympia,Athletics ( shot put ),Not listed
Vouliagmeni Olympic Centre,"Cycling ( individual time trial ) , Triathlon",Not listed
