,Date,Race,Winner
# 1,26 February,Geelong World Cup,Ina-Yoko Teutenberg ( GER )
# 2,5 March,New Zealand World Cup,Sarah Ulmer ( NZL )
# 3,2 April,Tour of Flanders for Women,Mirjam Melchers-Van Poppel ( NED )
# 4,19 April,La Flèche Wallonne Féminine,Nicole Cooke ( GBR )
# 5,23 April,Tour de Berne,Zulfiya Zabirova ( KAZ )
# 6,7 May,GP Castilla y Leon,Nicole Cooke ( GBR )
# 7,27 May,La Coupe du Monde Cycliste Féminine de Montréal,Judith Arndt ( GER )
# 8,28 July,Open de Suède Vargarda,Susanne Ljungskog ( SWE )
# 9,30 July,The Ladies Golden Hour,Univega Pro Cycling Team
# 10,26 August,GP de Plouay,Nicole Brändli ( SUI )
# 11,3 September,Lowland International Rotterdam Tour,Ina-Yoko Teutenberg ( GER )
# 12,10 September,Rund um die Nürnberger Altstadt,Regina Schleicher ( GER )
