Week,Tournament,State/Country,Winner
Jan 26-29,Movistar Panama Championship,Panama,Tripp Isenhour ( 3 )
Feb 16-19,Jacob 's Creek Open Championship,Australia,Paul Sheehan ( 1 )
Feb 23-26,ING New Zealand PGA Championship,New Zealand,Jim Rutledge ( 1 )
Mar 23-26,Chitimacha Louisiana Open,Louisiana,Johnson Wagner ( 1 )
Mar 30 - Apr 2,Livermore Valley Wine Country Championship,California,Tripp Isenhour ( 4 )
Apr 20-23,Athens Regional Foundation Classic,Georgia,Paul Gow ( 3 )
Apr 27-30,BMW Charity Pro-Am at The Cliffs,South Carolina,Ken Duke ( 1 )
May 4-7,Virginia Beach Open,Virginia,Andrew Buckle ( 1 )
May 11-14,Rheem Classic,Arkansas,Darron Stiles ( 4 )
May 18-21,Henrico County Open,Virginia,Matt Kuchar ( 2 )
June 1-4,Rex Hospital Open,North Carolina,Brenden Pappas ( 1 )
June 8-11,LaSalle Bank Open,Illinois,Jason Dufner ( 2 )
June 15-18,Knoxville Open,Tennessee,Hunter Haas ( 2 )
June 22-25,Chattanooga Classic,Tennessee,Kyle Reifers ( 1 )
June 29 - July 2,Peek ' n Peak Classic,New York,John Merrick ( 1 )
July 13-16,Scholarship America Showdown at Somerby,Minnesota,Brandt Snedeker ( 1 )
July 20-23,Price Cutter Charity Championship,Missouri,Doug LaBelle II ( 1 )
July 27-30,Preferred Health Systems Wichita Open,Kansas,Kevin Johnson ( 4 )
Aug 3-6,Cox Classic,Nebraska,Johnson Wagner ( 2 )
Aug 10-13,Xerox Classic,New York,Kevin Stadler ( 3 )
