Club,Sport,League,Stadium
CHEER Seattle,Cheerleading,Pride Cheerleading Association,
Crossfire Redmond,Soccer,National Premier Soccer League,Redmond High School
Everett AquaSox,Baseball,Northwest League,Funko Field
Everett Silvertips,Ice hockey,Western Hockey League,Angel of the Winds Arena
Jet City Roller Derby,Roller derby,Women 's Flat Track Derby Association,Edmonds Community College
Puget Sound Outcast Derby,Roller derby,Men 's Roller Derby Association,Shoreline Derby Center
Rat City Rollergirls,Roller Derby,Women 's Flat Track Derby Association,
Seattle Cascades,Drum and Bugle Corps,Drum Corps International,
Seattle Cascades,Ultimate,American Ultimate Disc League,Memorial Stadium
Seattle Force,Rugby league,WAMNRL / AMNRL,Memorial Stadium
Seattle Grizzlies,Australian Football,U.S. Australian Football League,Mosier Park
Seattle Lady Grizzlies,Australian Football,U.S. Australian Football League,Mosier Park
Seattle Majestics,American football,Women 's Football Alliance,French Field
Seattle Mountaineers,Basketball,American Basketball Association,Varies
Seattle Riot,Ultimate,USA Ultimate,Varies
Seattle Saracens,Rugby union,CDI Premier League,Magnuson Park
Seattle Sockeye,Ultimate,USA Ultimate,Varies
Seattle Sounders FC U-23,Soccer,USL League Two,Sunset Chevrolet Stadium
Seattle Sounders Women,Soccer,USL W-League,Starfire Sports Complex
Seattle Thunderbirds,Ice hockey,Western Hockey League,ShoWare Center
