Date,Event,Event ranking,Winner,Tour
Jul 28,The Evian Championship,100,Ko Jin-young,LPGA
Apr 7,ANA Inspiration,100,Ko Jin-young,LPGA
Jun 2,U.S. Women 's Open,100,Lee Jeong-eun,LPGA
Aug 4,AIG Women 's British Open,100,Hinako Shibuno,LPGA
Jun 23,KPMG Women 's PGA Championship,100,Hannah Green,LPGA
Aug 25,Canadian Women 's Open,62,Ko Jin-young,LPGA
Jun 30,Walmart NW Arkansas Championship,62,Park Sung-hyun,LPGA
Mar 3,HSBC Women 's World Championship,62,Park Sung-hyun,LPGA
Apr 28,Hugel-Air Premia LA Open,62,Minjee Lee,LPGA
Mar 31,Kia Classic,62,Nasa Hataoka,LPGA
Mar 24,Bank of Hope Founders Cup,62,Ko Jin-young,LPGA
Nov 24,CME Group Tour Championship,62,Kim Sei-young,LPGA
Feb 24,Honda LPGA Thailand,62,Amy Yang,LPGA
Apr 20,Lotte Championship,56,Brooke Henderson,LPGA
May 5,LPGA Mediheal Championship,56,Kim Sei-young,LPGA
May 26,Pure Silk Championship,56,Bronte Law,LPGA
Oct 27,BMW Ladies Championship,56,Jang Ha-na,LPGA
Jun 16,Meijer LPGA Classic,50,Brooke Henderson,LPGA
Nov 3,Taiwan Swinging Skirts LPGA,50,Nelly Korda,LPGA
Oct 20,Buick LPGA Shanghai,50,Danielle Kang,LPGA
