#,Stadium,Capacity,City,Home Team,Inaugurated
1,Estadio Deportivo Cali,"52,000",Palmira,Deportivo Cali,2010
2,Estadio Metropolitano Roberto Meléndez,"46,788",Barranquilla,"Colombia national football team , Junior",1986
3,Estadio Atanasio Girardot,"45,943",Medellín,"Atlético Nacional , Independiente Medellín",1953
4,Estadio General Santander,"42,901",Cúcuta,Cúcuta Deportivo,1940
5,Estadio Palogrande,"42,678",Manizales,Once Caldas,1994
6,Estadio Olímpico Pascual Guerrero,"38,648",Cali,"América de Cali , Atlético , Boca Juniors",1937
7,Estadio El Campín,"36,343",Bogotá,"Millonarios , Santa Fe",1938
8,Estadio Hernán Ramírez Villegas,"30,297",Pereira,Deportivo Pereira,1971
9,Estadio Manuel Murillo Toro,"28,100",Ibagué,Deportes Tolima,1955
10,Estadio Alfonso López,"28,000",Bucaramanga,Atlético Bucaramanga,1948
11,Estadio Departamental Libertad,"27,380",Pasto,Deportivo Pasto,1954
12,Estadio Guillermo Plazas Alcid,"27,000",Neiva,Atlético Huila,1980
13,Estadio Eduardo Santos,"23,000",Santa Marta,,1951
14,Estadio Centenario,"20,716",Armenia,Deportes Quindío,1988
15,Estadio La Independencia,"20,630",Tunja,"Boyacá Chicó , Patriotas",2000
16,Estadio Romelio Martínez,"20,000",Barranquilla,Barranquilla,1934
17,Estadio Jaime Morón León,"16,068",Cartagena,Real Cartagena,1960
18,Estadio Doce de Octubre,"16,000",Tuluá,Cortuluá,1967
18,Estadio Sierra Nevada,"16,000",Santa Marta,Unión Magdalena,2017
20,Estadio Luis Antonio Duque Peña,"15,000",Girardot,,1963
