Year,Title,Role,Notes
1999,Will & Grace,Todd,Episode : I Never Promised You an Olive Garden
2000-2001,The Young and the Restless,Phillip Chance Chancellor,"Role held : May 12 , 2000 - February 1 , 2001"
2000-2002,The Brothers García,Eddie Bauer,2 episodes
2000,Daddio,Todd,2 episodes
2002,The Nightmare Room,Mike,Episode : My Name Is Evil ; uncredited
2002,Do Over,Joel Larsen,Main role
2002,What I Like About You,Jake Wood,Episode : Copy That
2003,The Twilight Zone,Trace Malone,Episode : Homecoming
2004-2005,The Mountain,Sam Tunney,Main role
2006,The Bedford Diaries,Owen Gregory,Main role
2007-2012,Gossip Girl,Daniel Dan Humphrey,Main role ; 121 episodes
2015,The Slap,Jamie,2 episodes
2018-present,You,Joe Goldberg,Main role ; 20 episodes
