Round,Pick,Player,Recruited from,Recruited to
Priority,1,Josh Fraser,Murray Bushrangers,Collingwood
Priority,2,Paul Hasleby,East Fremantle,Fremantle
1,3,Aaron Fiora,Port Adelaide Magpies,Richmond
1,4,Matthew Pavlich,Woodville-West Torrens,Fremantle
1,5,Leigh Brown,Gippsland Power,Fremantle
1,6,Damian Cupido,Eastern Ranges,Brisbane Lions
1,7,Danny Roach,Tassie Mariners,Collingwood
1,8,Joel Corey,East Perth,Geelong
1,9,Caydn Beetham,Oakleigh Chargers,St Kilda
1,10,Luke McPharlin,East Fremantle,Hawthorn
1,11,Darren Glass,Perth,West Coast Eagles
1,12,Paul Koulouriotis,Calder Cannons,Port Adelaide
1,13,Robert Murphy,Gippsland Power,Western Bulldogs
1,14,Travis Gaspar,South Fremantle,West Coast Eagles
1,15,David Spriggs,Prahran Dragons,Geelong
1,16,David Haynes,Geelong Falcons,West Coast Eagles
1,17,Ezra Bray,Calder Cannons,Geelong
2,18 ( F/S ),Rhyce Shaw,Preston Knights,Collingwood
2,19,Brad Green,Tassie Mariners,Melbourne
2,20,Paul Wheatley,Preston Knights,Melbourne
