Position,Player,From club,Fee
Head coach,K. Devan,Free agent,align=right| 0
Midfielder,Muhd Rafiuddin Rodin,Perak,align=right| 0
Goalkeeper,Khairul Amri Salehuddin,Perak,align=right| 0
Midfielder,Mohd Shazuan Mohd Ashraf Mathews,Kedah,align=right| 0
Defender,Hariri Mohd Safii,Kedah,align=right| 0
Defender,G. Mahathevan,T-Team,align=right| 0
Forward,Muhamad Zamri Chin,Sime Darby,align=right| 0
Midfielder,Mohd Azizan Baba,Sarawak,align=right| 0
Midfielder,Lew Han Hung,Kedah President 's Cup,align=right| 0
Midfielder,Yong Kuong Yong,Perak,align=right| 0
Goalkeeper,G. Jeevananthan,ATM,align=right| 0
Defender,Syafiq Azri Ahmad Kamal,ATM,align=right| 0
Midfielder,Lee Kil-Hoon,Hong Kong Rangers,align=right| 0
Forward,Hilton Moreira,Sriwijaya,align=right| 0
Defender,Lee Kwang-Hyun,Daejeon Citizen,align=right| 0
Forward,Titi Buengo,Olympiacos Volou 1937,align=right| 0
