Name,Position,School,Number,Official,Other
Jay Berwanger,Halfback,Chicago,9/9,"AAB , AP , COL , INS , LIB , NANA , NEA , SN , UP","CNS , CP , KCS , NYS , PTH , WC"
Bobby Grayson,Fullback,Stanford,9/9,"AAB , AP , COL , INS , LIB , NANA , NEA , SN , UP","CNS , CP , KCS , PTH"
Bob Wilson,Halfback,SMU,8/9,"AP , COL , INS , LIB , NANA , NEA , SN , UP","CNS , CP , NYS , PTH"
Jac Weller,Guard,Princeton,7/9,"AP , COL , INS , LIB , NANA , NEA , UP","CNS , CP , KCS , NYS , PTH"
Ed Widseth,Tackle,Minnesota,6/9,"AAB , INS , LIB , NANA , SN , UP","CNS , CP , KCS , SN"
Gaynell Tinsley,End,LSU,6/9,"AP , COL , INS , LIB , NEA , UP","CNS , NYS , PTH"
Darrell Lester,Center,TCU,6/9,"AAB , AP , COL , INS , NEA , SN","CNS , PTH , WC"
Monk Moscrip,End,Stanford,5/9,"AAB , COL , INS , NANA , SN","CNS , CP , KCS , PTH , WC"
Riley Smith,Quarterback,Alabama,5/9,"AAB , AP , COL , INS , NEA","CNS , NYS , WC"
Dick Smith,Tackle,Minnesota,5/9,"AP , COL , INS , NEA , UP","NYS , PTH"
Wayne Millner,End,Notre Dame,4/9,"AAB , NANA , SN , UP","CP , NYS , WC"
Gomer Jones,Center,Ohio State,4/9,"AAB , LIB , NANA , UP","CP , KCS , WC"
Larry Lutz,Tackle,California,4/9,"AAB , AP , NANA , SN","CNS , CP , WC"
J. C. Wetsel,Guard,SMU,3/9,"AAB , NANA , SN","CNS , KCS , WC"
Sid Wagner,Guard,Michigan State,2/9,"LIB , UP",NYS
