#,Name,Pos,College,GP,Seasons
61,Fran O'Brien,OL,Michigan State,83,1960-66
-,Gail O'Brien,OL,Nebraska,32,1934-36
57,Stu O'Dell,LB,Indiana,25,"1974 , 1976-77"
75/79,Pat Ogrin,DL,Wyoming,8,1981-82
26,Ifeanyi Ohalete,S,Southern California,47,2001-03
40,Kenny Okoro,CB,Wake Forest,2,2014
25,Mike Oliphant,RB,Puget Sound,8,1988
52,Neal Olkewicz,LB,Maryland,150,1979-89
21,Les Olsson,OL,Mercer,57,1934-38
0,Johnny Olszewski,RB,California,31,1958-60
98,Brian Orakpo,LB,Texas,71,2009-14
87/89,Terry Orr,TE,Texas,96,"1986-90 , 1991-93"
84,Tom Osborne,WR,Hastings,24,1960-61
88,Chet Ostrowski,E,Notre Dame,68,1954-59
23,Brig Owens,S,Cincinnati,158,1966-77
72,Don Owens,DL,Southern Mississippi,10,1957
96,Rich Owens,DL,Lehigh,42,1995-98
