Electoral district,Member,Party
Arm River,Duncan Selby Hutcheon,Conservative
Bengough,Herman Kersler Warren,Conservative
Biggar,William Willoughby Miller,Conservative
Cannington,Samson Wallace Arthur,Independent
Canora,Anton O. Morken,Liberal
Cumberland,Deakin Alexander Hall,Liberal
Cut Knife,George John McLean,Independent
Cypress,John Edward Gryde,Conservative
Elrose,James Cobban,Conservative
Estevan,Eleazer William Garner,Liberal
Francis,Samuel Norval Horner,Progressive
Gravelbourg,Benjamin Franklin McGregor,Liberal
Hanley,Reginald Stipe,Progressive
Happyland,Donald McPherson Strath,Liberal
Humboldt,Henry Mathies Therres,Liberal
Île-à-la-Crosse,A. Jules Marion,Liberal
Jack Fish Lake,Donald M. Finlayson,Liberal
Kerrobert,Robert Leith Hanbidge,Conservative
Kindersley,Ebenezer Samuel Whatley,Progressive
Kinistino,Charles McIntosh,Liberal
