Site,Municipality,Comments,Type,Ref
Former Shibata Domain Lower Residence Gardens ( Shimizu-en ) 旧新発田藩下屋敷（ 清水谷御殿 ）庭園および 五十公野御茶屋 庭園 kyū-Shibata-han shimo-yashiki ( Shimizudani goten ) teien oyobi gojū kōno ochaya teien,Shibata,,1,[ 1 ]
Sado Kaifu Coast 佐渡海府海岸 Sado Kaifu kaigan,Sado,,8,[ 2 ]
Sado Ogi Coast 佐渡小木海岸 Sado Ogi kaigan,Sado,also a Natural Monument,8,[ 3 ]
Sasagawa Flow 笹川流 Sasagawa nagare,Murakami,also a Natural Monument,"5 , 8",[ 4 ]
Kiyotsu Gorge 清津峡 Kiyotsu-kyō,Yuzawa / Tōkamachi,also a Natural Monument,6,[ 5 ]
Teikan-en 貞観園 Teikan-en,Kashiwazaki,,1,[ 6 ]
Tashiro Nanatsugama 田代の七ツ釜 Tashiro no Nanatsugama,Tsunan / Tōkamachi,also a Natural Monument,"5 , 6",[ 7 ]
Watanabe Family Gardens 渡辺氏庭園 Watanabe-shi teien,Sekikawa,,1,[ 8 ]
Former Sekiyama Hōzō-in Gardens 旧関山宝蔵院庭園 kyū-Sekiyama Hōzō-in teien,Myōkō,,1,[ 9 ]
Landscape of Oku no Hosomichi - Oyashirazu おくのほそ道の風景地 親しらす Oku no Hosomichi no fūkei-chi Oyashirazu,Itoigawa,designation spans ten prefectures,,[ 10 ]
