Season,Player,School
1982,Brian McClure,Bowling Green
1983,Kelly Spielmaker,Western Michigan
1984,Pete Genatempo,Northern Illinois
1985,Marshall Taylor,Northern Illinois
1986,Patrick Young,Kent State
1987,Bernie Parmalee,Ball State
1988,Jeff Bender,Central Michigan
1989,Brad Tayles,Western Michigan
1990,Troy Parker,Toledo
1991,Morrey Norris,Kent State
1992,Deland McCullough,Miami
1993,Michael Blair,Ball State
1994,Astron Whatley,Kent State
1995,Silas Massey III,Central Michigan
1996 *,Walt Church,Eastern Michigan
1996*,Tim Lester,Western Michigan
1997,Robert Sanford,Western Michigan
1998,Kurt Gerling,Bowling Green
1999,Brandon Payne,Akron
2000,Talmadge Hill,Ball State
