Song title,Artist,Year,Genre,Pro guitar/bass support in RB3
"A Little Less Sixteen Candles , a Little More Touch Me",Fall Out Boy,2005,Pop/Rock,No
Always,Blink-182,2003,Punk,No
Bang Your Head ( Metal Health ),Quiet Riot,1983,Metal,No
Cult of Personality,Living Colour,1988,Rock,Yes
Death on Two Legs ( Dedicated To ... ),Queen,1975,Classic Rock,No
Diamond Eyes ( Boom-Lay Boom-Lay Boom ),Shinedown,2010,Nu Metal,No
Give It Away,Red Hot Chili Peppers,1991,Alternative,Yes
I 'm Still Standing,Elton John,1983,Classic Rock,No
Jessie 's Girl,Rick Springfield,1981,Classic Rock,Yes
Jungle Boogie,Kool & the Gang,1973,R & B/Soul/Funk,Yes
Kids in the Street,All-American Rejects,2012,Emo,No
Moves Like Jagger,Maroon 5 feat . Christina Aguilera,2011,Pop/Rock,No
"Once Bitten , Twice Shy",Great White,1989,Rock,No
One Week,Barenaked Ladies,1998,Rock,No
Pumped Up Kicks,Foster the People,2011,Indie Rock,No
Raise Your Glass,P ! nk,2010,Pop/Rock,No
Shine,Collective Soul,1994,Rock,No
Shout,Tears for Fears,1985,New Wave,No
Sing,My Chemical Romance,2010,Emo,No
So Far Away,Avenged Sevenfold,2010,Metal,No
