Player,Triples,Teams & Seasons
Sam Crawford,309,1899-1902 Cincinnati ; 1903-17 Detroit
Ty Cobb,297,1905-26 Detroit ; 1927-28 Philadelphia ( AL )
Honus Wagner,252,1897-99 Louisville ; 1900-17 Pittsburgh
Jake Beckley,243,"1888-89 , 1891-96 Pittsburgh ; 1890 Pittsburgh ( PL ) ; 1896-97 New York ( NL ) ; 1897-1903 Cincinnati ; 1904-07 St. Louis ( NL )"
Roger Connor,233,"1880-82 Troy ( NL ) ; 1883-91 , 1893-94 New York ( NL ) ; 1892 Philadelphia ( NL ) ; 1894-97 St. Louis ( NL )"
Tris Speaker,222,"1907-15 Boston ( AL ) ; 1916-26 Cleveland , 1927 Washington ; 1928 Philadelphia ( AL )"
Dan Brouthers,205,1879-80 Troy ( NL ) ; 1881-85 Buffalo ( NL ) ; 1886-88 Detroit ( NL ) ; Boston ( NL ) ; 1890-91 Boston ( PL-AA ) ; Brooklyn ; 1894-95 Baltimore ( NL ) ; 1895 Louisville ( NL ) ; 1896 Philadelphia ( NL ) ; 1904 New York ( NL )
Joe Kelley,194,"1891 , 1908 Boston ( NL ) ; 1892 Pittsburgh ; 1892-98 Baltimore ( NL ) ; 1899-1901 Brooklyn ; 1902 Baltimore ( AL ) ; 1902-06 Cincinnati"
Paul Waner,191,1926-40 Pittsburgh ; 1941-44 Boston ( NL ) ; 1941 Brooklyn ; 1944-45 New York ( AL )
Bid McPhee,188,1882-89 Cincinnati ( AA ) ; 1890-99 Cincinnati ( NL )
Eddie Collins,187,"1906-14 , 1927-30 Philadelphia ( AL ) , 1915-26 Chicago ( AL )"
Ed Delahanty,185,"1888-89 , 1891-1901 Philadelphia ( NL ) ; 1890 Cleveland ( PL ) ; 1902-03 Washington ( AL )"
Sam Rice,184,1915-33 Washington ( AL ) ; 1934 Cleveland
Jesse Burkett,182,1890 New York ( NL ) ; 1891-98 Cleveland ( NL ) ; 1899-1901 St. Louis ( NL ) ; 1902-04 St. Louis ( AL ) ; 1905 Boston ( AL )
Ed Konetchy,182,1907-13 St. Louis ( NL ) ; 1914 Pittsburgh ; 15 Pittsburgh ( FL ) ; 1916-18 Boston ( NL ) ; 1919-21 Brooklyn ; 1921 Philadelphia ( NL )
Edd Roush,182,"1913 Chicago ( AL ) ; 1914-15 Indianapolis/Newark ( FL ) ; 1916 , 1927-29 New York ( NL ) ; 1916-26 , 1931 Cincinnati"
Buck Ewing,178,1880-82 Troy ( NL ) ; 1883-92 New York ( NL ) ; 1893-94 Cleveland ( NL ) ; 1895-97 Cincinnati
Rabbit Maranville,177,"1912-20 , 1929-33 , 1935 Boston ( NL ) ; 1921-24 Pittsburgh ; 1925 Chicago ( NL ) ; 1926 Brooklyn ; 1927-28 St. Louis ( NL )"
Stan Musial,177,"1941-44 , 1946-63 St. Louis ( NL )"
