Name,Location,Year,Size ( gross leasable area )
BM Habitat Mall,"Jayalakshmipura , Mysuru",2012,"240,000 sq ft ( 22,000 m )"
City Centre Mall,"K S Rao Road , Mangaluru",2011,"540,000 sq ft ( 50,000 m )"
City Centre Mall,"KSTRC Bus Station , Shivamogga",2014,"85,000 sq ft ( 7,900 m )"
Elements Mall,"Thanisandra Main Road , Nagavara , Bengaluru",2012,"260,000"
Empire Mall,"Mahatma Gandhi Road , Mangaluru",,
Mantri Square,"Malleswara , Bengaluru",2010,"924,000 sq ft ( 85,800 m )"
The Forum,"Koramangala , Bengaluru",2004,"365,000 sq ft ( 33,900 m )"
Forum Centre City Mall,"Nazarbad , Mysuru",2018,"347,000 sq ft ( 32,237 m )"
The Forum Value,"Whitefield , Bengaluru",2009,"300,000 sq ft ( 28,000 m )"
Forum Fiza Mall,"K S Rao Road , Mangaluru",2014,"686,892 sq ft ( 63,814.4 m )"
Garuda Mall,"Magrath Road , Bengaluru",2005,"280,000 sq ft ( 26,000 m )"
Inorbit Mall,"Whitefield , Bengaluru",2012,"339,000 sq ft ( 31,500 m )"
Lotus Mall,"Kulshekar , Mangaluru",2015,"900,000 sq ft ( 84,000 m )"
Mak Mall,"Kankanady , Mangaluru",2013,"70,000 sq ft ( 6,500 m )"
Mall of Mysore,"M.G.Road , Mysuru",2012,"262,000 sq ft ( 24,300 m )"
Orion Mall,"Malleswara - Rajajinagara , Bengaluru",2012,"850,000 sq ft ( 79,000 m )"
Park square mall,"Whitefield , Bangaluru",,"400,000 sq ft ( 37,000 m )"
Phoenix Market City,"Whitefield , Bangaluru",2010,"1,400,000 sq ft ( 130,000 m )"
Urban Oasis Mall,"Gokul Road , Hubballi",2012,"375,000 sq ft ( 34,800 m )"
UB City,"Vittal Mallya Road , Bengaluru",2008,"130,000 sq ft ( 12,000 m )"
