Year,Fiction,Non-fiction,Young adult fiction,Children 's fiction,Poetry,Australian history
2008,The Zookeeper 's War by Steven Conte,Ochre and Rust : Artefacts and Encounters on Australian Frontiers by Philip Jones,NA,NA,NA,NA
2009,The Boat by Nam Le,"House of Exile : The Life and Times of Heinrich Mann , and Nelly-Kroeger Mann by Evelyn Juers , and Drawing the Global Colour Line by Marilyn Lake and Henry Reynolds",NA,NA,NA,NA
2010,Dog Boy by Eva Hornung,The Colony : A History of Early Sydney by Grace Karskens,"Confessions of a Liar , Thief and Failed Sex God by Bill Condon",Star Jumps by Lorraine Marwood,NA,NA
2011,Traitor by Stephen Daisley,The Hard Light of Day by Rod Moss,Graffiti Moon by Cath Crowley,Shake a Leg by Boori Monty Pryor and Jan Ormerod,NA,NA
2012,Foal 's Bread by Gillian Mears,An Eye for Eternity : The Life of Manning Clark by Mark McKenna,When We Were Two by Robert Newton,"Goodnight , Mice ! , written by Frances Watts and illustrated by Judy Watson",Interferon Psalms by Luke Davies,The Biggest Estate on Earth by Bill Gammage
2013,Questions of Travel by Michelle de Kretser,The Australian Moment by George Megalogenis,Fog a Dox by Bruce Pascoe,Red by Libby Gleeson,Jam Tree Gully : Poems by John Kinsella,"Farewell , Dear People by Ross McMullin"
2014,"A World of Other People by Steven Carroll , and The Narrow Road to the Deep North by Richard Flanagan","Moving Among Strangers by Gabrielle Carey , and Madeleine : A Life of Madeleine St John by Helen Trinca",The Incredible Here and Now by Felicity Castagna,Silver Buttons by Bob Graham,Drag Down to Unlock or Place an Emergency Call by Melinda Smith,"Broken Nation : Australians in the Great War by Joan Beaumont , and Australia 's Secret War : How Unionists Sabotaged Our Troops in World War II by Hal G.P . Colebatch"
2015,The Golden Age by Joan London,"John Olsen : An Artist 's Life by Darleen Bungey , and Wild Bleak Bohemia : Marcus Clarke , Adam Lindsay Gordon and Henry Kendall by Michael Wilding",The Protected by Claire Zorn,One Minute 's Silence by David Metzenthen and illustrated by Michael Camilleri,Poems 1957-2013 by Geoffrey Lehmann,"Charles Bean by Ross Coulthart , and The Spy Catchers - The Official History of ASIO Vol 1 by David Horner"
2016,The Life of Houses by Lisa Gorton and The Natural Way of Things by Charlotte Wood,"On Stalin 's Team : The Years of Living Dangerously in Soviet Politics by Sheila Fitzpatrick , and Thea Astley : Inventing her own Weather by Karen Lamb",A Single Stone by Meg McKinlay,Sister Heart by Sally Morgan,The Hazards by Sarah Holland-Batt,"The Story of Australia 's People . The Rise and Fall of Ancient Australia by Geoffrey Blainey , and Let My People Go : The untold story of Australia and the Soviet Jews 1959-89 by Sam Lipski and Suzanne D Rutland"
2017,Their Brilliant Careers by Ryan O'Neill,Quicksilver by Nicolas Rothwell,Words in Deep Blue by Cath Crowley,"Home in the Rain by Bob Graham , and Dragonfly Song by Wendy Orr",Headwaters by Anthony Lawrence,Atomic Thunder : The Maralinga Story by Elizabeth Tynan
